Regime Information 
 Unit triggered from 130khz filter 
 Logged clicks regardless of ratio
Logged clicks regardless of click length
Logged clicks regardless of inter-click length
10 or 0.129 milli volts
Gain on Logger = 12 
50 us Minimum / 800 us Maximum
1000 us Minimum / 500000 us Maximum

Session start time 08:19:45:000000 01/05/2017 
 Session end time 21:42:10:000000 04/05/2017 
 Click Time,Click Length,Inter-Click Interval,Amplitude 130khz, Amplitude 60khz 
 7.682036,4,0.000000,0.129412,0.349412 
9.630497,8,1.948461,0.142353,0.401176 
14.150998,57,4.520501,0.388235,0.802353 
24.046470,13,9.895472,0.168235,0.465882 
51.812029,30,27.765558,0.284706,1.177647 
208.048257,1,156.236221,0.129412,0.064706 
490.549895,7,282.501648,0.155294,0.232941 
503.717636,12,13.167741,0.168235,0.440000 
540.448097,0,36.730461,0.116471,0.362353 
535.868262,31,0.000000,0.271765,1.100000 
551.891284,56,16.023022,0.647059,1.514118 
551.941816,35,0.050532,0.310588,1.682353 
559.598217,19,7.656401,0.194118,0.556471 
559.698187,4,0.099970,0.142353,0.401176 
754.929070,12,195.230881,0.168235,0.440000 
755.020806,15,0.091736,0.181176,0.375294 
756.092656,24,1.071850,0.245882,0.776471 
1036.645257,28,280.552612,0.245882,1.462353 
22960.701166,57,21924.056641,1.242353,1.967059 
22960.732936,72,0.031770,2.005882,2.148235 
22960.761918,71,0.028982,2.057647,2.225882 
22960.893981,5,0.132063,0.142353,0.323529 
22970.761848,34,9.867867,0.401176,1.682353 
22996.438923,15,25.677074,0.207059,0.375294 
22996.618736,19,0.179813,0.245882,0.440000 
22998.290942,66,1.672206,2.031765,2.458823 
22998.661484,75,0.370542,2.148235,2.148235 
23002.390323,19,3.728839,0.129412,0.103529 
23002.645215,34,0.254892,0.194118,0.051765 
23691.527285,99,688.882080,1.747059,2.109412 
23693.103550,10,1.576265,0.168235,0.271765 
23694.552853,7,1.449303,0.142353,0.414118 
23695.670401,42,1.117548,0.569412,1.876471 
23702.360013,9,6.689612,0.168235,0.038824 
23729.701759,1,27.341745,0.116471,0.245882 
23742.603037,4,12.901278,0.116471,0.038824 
23744.483346,35,1.880309,0.155294,0.181176 
23745.544038,54,1.060692,0.297647,0.129412 
23746.582745,63,1.038707,0.258824,0.051765 
23764.924245,1,18.341499,0.116471,0.064706 
23780.516567,27,15.592322,0.194118,0.064706 
23781.168276,16,0.651709,0.168235,0.194118 
23796.323136,51,15.154860,0.297647,0.220000 
24182.722281,17,386.399139,0.232941,0.465882 
24200.285132,24,17.562851,0.232941,0.737647 
24200.293087,38,0.007955,0.478824,1.772941 
25533.936594,33,1333.643555,0.284706,0.983529 
25533.938867,114,0.002273,0.983529,0.724706 
25538.242556,17,4.303689,0.232941,0.530588 
25544.552748,68,6.310192,1.941176,2.135294 
25544.559875,66,0.007127,1.760000,2.109412 
25545.214926,32,0.655051,0.297647,1.552941 
25545.220006,29,0.005080,0.258824,1.255294 
25545.222984,25,0.002978,0.245882,0.880000 
25545.232706,21,0.009722,0.232941,0.789412 
25545.367404,27,0.134698,0.284706,1.410588 
25545.368060,115,0.000656,0.685882,2.342353 
25545.393114,53,0.025054,0.181176,0.103529 
25545.423518,90,0.030404,0.905882,0.478824 
25545.428627,20,0.005109,0.168235,0.090588 
25545.450827,57,0.022200,0.207059,0.478824 
25545.451408,57,0.000581,0.232941,0.698824 
25545.462079,40,0.010671,0.181176,0.789412 
25545.466670,43,0.004591,0.194118,0.220000 
25545.467240,132,0.000570,0.582353,0.323529 
25545.523437,15,0.056197,0.129412,0.414118 
25545.652772,36,0.129335,0.323529,0.077647 
25550.702109,27,5.049337,0.155294,0.103529 
25550.713143,36,0.011034,0.194118,0.220000 
25551.379402,157,0.666259,0.271765,1.009412 
25551.383006,111,0.003604,0.232941,0.271765 
25551.384243,122,0.001237,0.310588,0.440000 
25552.694080,43,1.309837,0.258824,0.129412 
25931.350419,9,378.656342,0.155294,0.090588 
25935.525932,1,4.175513,0.129412,0.077647 
25947.815747,12,12.289815,0.155294,0.168235 
25947.937069,5,0.121322,0.129412,0.064706 
25948.419752,18,0.482683,0.220000,0.336471 
26166.746443,8,218.326691,0.129412,0.375294 
26629.100634,10,462.354187,0.142353,0.194118 
28931.812062,9,2302.711426,0.129412,0.090588 
28932.526133,16,0.714071,0.168235,0.155294 
29259.541118,14,327.014984,0.168235,0.168235 
29259.552623,28,0.011505,0.207059,0.181176 
29260.039435,54,0.486812,0.258824,0.854118 
29260.061012,45,0.021577,0.220000,0.724706 
29260.430781,29,0.369769,0.194118,0.232941 
29261.214400,39,0.783619,0.168235,0.478824 
29261.322514,47,0.108114,0.155294,0.168235 
29261.409538,62,0.087024,0.232941,0.310588 
34075.788401,5,4814.378906,0.116471,0.181176 
36019.549232,28,1943.760864,0.232941,0.802353 
37857.522052,46,1837.972778,0.440000,1.540000 
37857.572822,24,0.050770,0.142353,0.155294 
38648.892748,65,791.319946,0.297647,0.375294 
40108.666075,11,1459.773315,0.129412,0.181176 
41388.383822,6,1279.717773,0.129412,0.155294 
41858.507276,4,470.123444,0.142353,0.892941 
44129.935266,11,2271.427979,0.258824,1.268235 
44368.933517,31,238.998245,0.155294,0.038824 
44948.534447,11,579.600952,0.168235,0.245882 
44980.947670,6,32.413223,0.116471,0.284706 
46159.946037,5,1178.998413,0.129412,0.038824 
46163.744875,16,3.798838,0.155294,0.129412 
46163.771294,6,0.026419,0.129412,0.038824 
46163.963929,29,0.192635,0.168235,0.025882 
46163.994917,10,0.030988,0.129412,0.038824 
46176.353961,17,12.359044,0.142353,0.038824 
46176.396648,20,0.042687,0.155294,0.025882 
46182.393545,51,5.996897,0.207059,0.038824 
46182.456515,17,0.062970,0.142353,0.038824 
46182.520613,40,0.064098,0.207059,0.025882 
46199.865820,6,17.345207,0.116471,0.038824 
46247.186886,4,47.321068,0.116471,0.025882 
46359.661902,128,112.475014,0.504706,0.038824 
46405.857170,9,46.195267,0.116471,0.025882 
46463.565797,93,57.708626,0.220000,0.025882 
46494.642772,6,31.076975,0.129412,0.038824 
46494.729326,3,0.086554,0.116471,0.025882 
46494.876722,12,0.147396,0.129412,0.038824 
47046.594915,90,551.718201,0.271765,0.194118 
48143.908853,3,1097.313965,0.116471,0.038824 
48523.570810,15,379.661957,0.129412,0.038824 
48523.626548,18,0.055738,0.129412,0.038824 
48524.352194,25,0.725646,0.155294,0.038824 
48926.992572,14,402.640381,0.129412,0.129412 
48929.169774,13,2.177202,0.647059,1.785882 
48929.231466,11,0.061692,0.142353,0.077647 
48929.527375,12,0.295909,0.129412,0.051765 
48929.529772,27,0.002397,0.155294,0.077647 
48929.542227,7,0.012455,0.168235,0.064706 
48929.585930,57,0.043703,0.336471,0.168235 
48929.587977,24,0.002047,0.168235,0.181176 
48929.662136,3,0.074159,0.155294,0.116471 
48929.795064,13,0.132928,0.155294,0.194118 
